code,year,indicator,value
600036,2021,ROE,0.082712
600036,2021,净利润率,0.365324
600036,2022,ROE,0.079484
600036,2022,净利润率,0.390874
600036,2023,ROE,0.0788
600036,2023,净利润率,0.428314
600036,2024,ROE,0.068365
600036,2024,净利润率,0.435855
600036,2025,ROE,0.059581
600036,2025,净利润率,0.44364
601398,2021,ROE,0.055196
601398,2021,净利润率,0.351671
601398,2022,ROE,0.052193
601398,2022,净利润率,0.354157
601398,2023,ROE,0.049142
601398,2023,净利润率,0.390441
601398,2024,ROE,0.044857
601398,2024,净利润率,0.407364
601398,2025,ROE,0.041586
601398,2025,净利润率,0.395238
601127,2021,ROE,-0.07426
601127,2021,净利润率,-0.096134
601127,2022,ROE,-0.162012
601127,2022,净利润率,-0.186563
601127,2023,ROE,-0.124099
601127,2023,净利润率,-0.193929
601127,2024,ROE,0.131827
601127,2024,净利润率,0.020895
601127,2025,ROE,0.150717
601127,2025,净利润率,0.049315
000625,2021,ROE,0.032155
000625,2021,净利润率,0.031786
000625,2022,ROE,0.100628
000625,2022,净利润率,0.103211
000625,2023,ROE,0.11701
000625,2023,净利润率,0.106379
000625,2024,ROE,0.039441
000625,2024,净利润率,0.029284
000625,2025,ROE,0.030025
000625,2025,净利润率,0.024661
600048,2021,ROE,0.055567
600048,2021,净利润率,0.163351
600048,2022,ROE,0.05484
600048,2022,净利润率,0.134784
600048,2023,ROE,0.061782
600048,2023,净利润率,0.109998
600048,2024,ROE,0.0372
600048,2024,净利润率,0.076825
600048,2025,ROE,0.013696
600048,2025,净利润率,0.056206
001979,2021,ROE,0.040733
001979,2021,净利润率,0.130471
001979,2022,ROE,0.018235
001979,2022,净利润率,0.069618
001979,2023,ROE,0.021151
001979,2023,净利润率,0.073901
001979,2024,ROE,0.012151
001979,2024,净利润率,0.036026
001979,2025,ROE,0.013461
001979,2025,净利润率,0.0338
600519,2021,ROE,0.152628
600519,2021,净利润率,0.533879
600519,2022,ROE,0.156135
600519,2022,净利润率,0.539866
600519,2023,ROE,0.180614
600519,2023,净利润率,0.536564
600519,2024,ROE,0.192038
600519,2024,净利润率,0.526991
600519,2025,ROE,0.192486
600519,2025,净利润率,0.525641
000568,2021,ROE,0.178393
000568,2021,净利润率,0.457884
000568,2022,ROE,0.194025
000568,2022,净利润率,0.477922
000568,2023,ROE,0.204647
000568,2023,净利润率,0.488015
000568,2024,ROE,0.193006
000568,2024,净利润率,0.475972
000568,2025,ROE,0.163164
000568,2025,净利润率,0.466986
601012,2021,ROE,0.127184
601012,2021,净利润率,0.142215
601012,2022,ROE,0.128592
601012,2022,净利润率,0.128098
601012,2023,ROE,0.14029
601012,2023,净利润率,0.141499
601012,2024,ROE,-0.077743
601012,2024,净利润率,-0.136454
601012,2025,ROE,-0.043121
601012,2025,净利润率,-0.079181
300274,2021,ROE,0.070215
300274,2021,净利润率,0.096033
300274,2022,ROE,0.057076
300274,2022,净利润率,0.076693
300274,2023,ROE,0.207955
300274,2023,净利润率,0.154138
300274,2024,ROE,0.167756
300274,2024,净利润率,0.16269
300274,2025,ROE,0.194724
300274,2025,净利润率,0.179868
