日期,股票代码,开盘,收盘,最高,最低,成交量
2020-01-02,001979,16.1049634900,16.4836194600,16.1049634900,16.3788848300,16155443
2020-01-03,001979,16.4755629500,16.4997324800,16.2016416100,16.3788848300,9717988
2020-01-06,001979,16.2338676500,16.3627718100,15.8793812100,16.0405114100,15483394
2020-01-07,001979,16.0969069800,16.2016416100,16.0324549000,16.1452460400,7676295
2020-01-08,001979,15.9599463100,16.0888504700,15.5732338300,15.6940814800,17432736
2020-01-09,001979,15.8793812100,15.9921723500,15.7988161100,15.9518898000,9739342
2020-01-10,001979,16.0002288600,16.0243983900,15.7746465800,15.8149291300,8961518
2020-01-13,001979,15.8229856400,15.9116072500,15.7263075200,15.8471551700,9490688
2020-01-14,001979,15.8793812100,15.9518898000,15.6457424200,15.7021379900,11551830
2020-01-15,001979,15.6457424200,15.6940814800,15.4684992000,15.4846122200,10555157
2020-01-16,001979,15.5490643000,15.5893468500,15.2268039000,15.3234820200,14472694
2020-01-17,001979,15.4282166500,15.4362731600,15.0334476600,15.2026343700,15697267
2020-01-20,001979,15.2026343700,15.2026343700,14.9770520900,15.0334476600,13830273
2020-01-21,001979,14.9689955800,15.0656737000,14.7434133000,14.8159218900,16589006
2020-01-22,001979,14.7353567900,15.0495606800,14.7031307500,15.0092781300,15129312
2020-01-23,001979,14.8723174600,14.9528825600,14.5420005500,14.6064526300,17481138
2020-02-03,001979,13.1482243200,13.3093545200,13.1482243200,13.1482243200,23235704
2020-02-04,001979,12.8098509000,13.2368459300,12.8098509000,13.1965633800,24953842
2020-02-05,001979,13.2126764000,13.4463151900,13.0112636500,13.3496370700,17894848
2020-02-06,001979,13.4865977400,13.4865977400,13.1804503600,13.3818631100,15750784
2020-02-07,001979,13.2449024400,13.3093545200,13.0918287500,13.2610154600,19948151
2020-02-10,001979,13.2287894200,13.7766321000,13.1321113000,13.7041235100,18153157
2020-02-11,001979,13.7605190800,13.9458188100,13.6235584100,13.8330276700,11977193
2020-02-12,001979,13.8330276700,13.9458188100,13.7363495500,13.8894232400,9245074
2020-02-13,001979,13.9699883400,14.4211529000,13.9216492800,14.1794576000,19062208
2020-02-14,001979,14.2358531700,14.6628482000,14.1714010900,14.5420005500,16878833
2020-02-17,001979,14.4936614900,14.6628482000,14.4211529000,14.5581135700,14454521
2020-02-18,001979,14.5258875300,14.5420005500,14.2519661900,14.4533789400,13656333
2020-02-19,001979,14.4614354500,14.6225656500,14.3164182700,14.5017180000,11632963
2020-02-20,001979,14.5017180000,14.5661700800,14.3728138400,14.5097745100,11625647
2020-02-21,001979,14.5097745100,14.5581135700,14.3405878000,14.5017180000,11828496
2020-02-24,001979,14.4211529000,14.4614354500,14.1794576000,14.2277966600,14115473
2020-02-25,001979,14.1069490100,14.4130963900,14.0344404200,14.0747229700,14814898
2020-02-26,001979,13.9377623000,14.6064526300,13.9377623000,14.2680792100,17049385
2020-02-27,001979,14.3003052500,14.4050398800,14.0586099500,14.0747229700,10239841
2020-02-28,001979,13.9377623000,14.4292094100,13.7605190800,13.9699883400,17742405
2020-03-02,001979,13.9377623000,15.0173346400,13.9377623000,14.9206565200,36613955
2020-03-03,001979,15.0092781300,15.1462388000,14.6145091400,14.9287130300,21393896
2020-03-04,001979,15.0495606800,15.6537989300,14.9045435000,15.5571208100,30084696
2020-03-05,001979,15.4765557100,15.5248947700,15.1865213500,15.4684992000,15527129
2020-03-06,001979,15.2751429600,15.4684992000,15.0495606800,15.0817867200,9075397
2020-03-09,001979,14.6225656500,15.0334476600,14.5983961200,14.7756393400,13048305
2020-03-10,001979,14.8239784000,15.2912559800,14.6145091400,14.8400914200,10508665
2020-03-11,001979,15.0334476600,15.0334476600,14.6467351800,14.6628482000,7867559
2020-03-12,001979,14.5420005500,14.5661700800,14.2277966600,14.3647573300,10639111
2020-03-13,001979,13.7846886100,14.2680792100,13.7282930400,14.1150055200,10212561
2020-03-16,001979,14.2439096800,14.2439096800,13.5027107600,13.6638409600,14761212
2020-03-17,001979,13.6155019000,13.9458188100,13.3979761300,13.5107672700,13669675
2020-03-18,001979,13.5993888800,13.6880104900,13.2771284800,13.3093545200,10471476
2020-03-19,001979,13.2207329100,13.3899196200,12.8501334500,13.0596027100,9609248
2020-03-20,001979,13.3818631100,13.6557844500,13.1321113000,13.6477279400,22314224
2020-03-23,001979,13.2207329100,13.2529589500,12.9709811000,13.0757157300,10326949
2020-03-24,001979,13.1965633800,13.4140891500,13.1482243200,13.2690719700,9411923
2020-03-25,001979,13.5107672700,13.8330276700,13.3012980100,13.8169146500,15278164
2020-03-26,001979,13.6316149200,13.7121800200,13.5349368000,13.5752193500,5575486
2020-03-27,001979,13.7041235100,13.9216492800,13.5591063300,13.5671628400,12750584
2020-03-30,001979,13.2932415000,13.5107672700,13.1804503600,13.2368459300,8765244
2020-03-31,001979,13.3254675400,13.4865977400,13.1321113000,13.2771284800,5636463
2020-04-01,001979,13.3657500900,13.4060326400,13.2046198900,13.2932415000,8203442
2020-04-02,001979,13.1885068700,13.3818631100,13.1482243200,13.3818631100,5035981
2020-04-03,001979,13.3899196200,13.3899196200,13.2046198900,13.2529589500,5037148
2020-04-07,001979,13.4382586800,13.5188237800,13.3818631100,13.4704847200,7659432
2020-04-08,001979,13.4543717000,13.4543717000,13.2771284800,13.3818631100,4408258
2020-04-09,001979,13.4785412300,13.5349368000,13.3657500900,13.3738066000,4604591
2020-04-10,001979,13.4946542500,13.5027107600,13.2851849900,13.3657500900,6734764
2020-04-13,001979,13.3576935800,13.4624282100,13.3012980100,13.4140891500,7903171
2020-04-14,001979,13.3415805600,13.5268802900,13.3254675400,13.4704847200,12011166
2020-04-15,001979,13.4624282100,13.5510498200,13.3012980100,13.4704847200,8475854
2020-04-16,001979,13.4463151900,13.4946542500,13.3012980100,13.4060326400,7444155
2020-04-17,001979,13.5349368000,13.6557844500,13.3657500900,13.5188237800,12198663
2020-04-20,001979,13.5671628400,13.5671628400,13.3415805600,13.5188237800,9622640
2020-04-21,001979,13.4624282100,13.6880104900,13.3818631100,13.3818631100,10550954
2020-04-22,001979,13.3093545200,13.4382586800,13.2368459300,13.3818631100,6695859
2020-04-23,001979,13.5349368000,13.8974797500,13.4543717000,13.8330276700,15362677
2020-04-24,001979,13.8974797500,13.9135927700,13.7121800200,13.8169146500,10584331
2020-04-27,001979,13.8813667300,13.9297057900,13.6155019000,13.6557844500,7281393
2020-04-28,001979,13.8008016300,14.0827794800,13.3899196200,13.6557844500,10142035
2020-04-29,001979,13.4543717000,14.0344404200,13.4060326400,13.9941578700,12794739
2020-04-30,001979,13.9216492800,14.0586099500,13.7927451200,13.7927451200,10992372
2020-05-06,001979,13.5993888800,13.6960670000,13.4624282100,13.5510498200,14699417
2020-05-07,001979,13.4865977400,13.5510498200,13.3818631100,13.3979761300,8603630
2020-05-08,001979,13.3979761300,13.4946542500,13.3496370700,13.4221456600,10369213
2020-05-11,001979,13.4865977400,13.5349368000,13.3979761300,13.4785412300,6780740
2020-05-12,001979,13.5027107600,13.5027107600,13.3576935800,13.3979761300,5009024
2020-05-13,001979,13.3576935800,13.4463151900,13.2690719700,13.3899196200,4913353
2020-05-14,001979,13.3738066000,13.3738066000,13.1159982800,13.1321113000,8152657
2020-05-15,001979,13.2126764000,13.3335240500,13.1723938500,13.1965633800,5255963
2020-05-18,001979,13.1562808300,13.2932415000,13.0757157300,13.2046198900,6544785
2020-05-19,001979,13.2771284800,13.3254675400,13.1804503600,13.2207329100,6105197
2020-05-20,001979,13.2449024400,13.2529589500,13.1401678100,13.1643373400,3894563
2020-05-21,001979,13.2368459300,13.2610154600,13.1562808300,13.1804503600,5150966
2020-05-22,001979,13.1482243200,13.1643373400,12.8904160000,12.8904160000,6401829
2020-05-25,001979,12.8904160000,13.0837722400,12.8259639200,13.0354331800,3391933
2020-05-26,001979,13.0193201600,13.0837722400,12.9790376100,13.0757157300,2714393
2020-05-27,001979,13.0193201600,13.0918287500,12.9629245900,12.9870941200,3758574
2020-05-28,001979,13.0193201600,13.3093545200,13.0032071400,13.0434896900,5539936
2020-05-29,001979,13.0515462000,13.0837722400,12.8984725100,12.9145855300,10573063
2020-06-01,001979,12.9145855300,12.9145855300,12.9145855300,12.9145855300,0
2020-06-02,001979,12.9145855300,12.9145855300,12.9145855300,12.9145855300,0
2020-06-03,001979,12.9145855300,12.9145855300,12.9145855300,12.9145855300,0
2020-06-04,001979,12.9145855300,12.9145855300,12.9145855300,12.9145855300,0
2020-06-05,001979,12.9145855300,12.9145855300,12.9145855300,12.9145855300,0
2020-06-08,001979,13.5671628400,14.0827794800,13.3738066000,13.6074453900,26588516
2020-06-09,001979,13.6155019000,13.7927451200,13.5349368000,13.6799539800,11374017
2020-06-10,001979,13.6960670000,13.7282930400,13.4463151900,13.4624282100,11908456
2020-06-11,001979,13.4865977400,13.5993888800,13.3093545200,13.3174110300,10125472
2020-06-12,001979,13.1321113000,13.2690719700,13.0596027100,13.2126764000,13817103
2020-06-15,001979,13.1965633800,13.4543717000,13.1965633800,13.2046198900,13698529
2020-06-16,001979,13.3335240500,13.5027107600,13.2771284800,13.4382586800,11789158
2020-06-17,001979,13.5429933100,13.5429933100,13.2771284800,13.3335240500,6886316
2020-06-18,001979,13.3335240500,13.4946542500,13.2932415000,13.4704847200,7714206
2020-06-19,001979,13.4382586800,13.5107672700,13.3254675400,13.4302021700,13494361
2020-06-22,001979,13.3979761300,13.5268802900,13.3254675400,13.3254675400,9810856
2020-06-23,001979,13.3335240500,13.3738066000,13.1804503600,13.2449024400,8559438
2020-06-24,001979,13.2932415000,13.5993888800,13.2690719700,13.4463151900,12800517
2020-06-29,001979,13.4140891500,13.4382586800,13.1965633800,13.1965633800,9356672
2020-06-30,001979,13.3012980100,13.3254675400,13.1562808300,13.2449024400,12878341
2020-07-01,001979,13.2449024400,14.0586099500,13.1643373400,13.9055362600,35873758
2020-07-02,001979,13.7846886100,14.2519661900,13.7766321000,14.1391750500,35600590
2020-07-03,001979,14.1955706200,14.4050398800,13.9538753200,14.1552880700,27559695
2020-07-06,001979,14.3969833700,15.5571208100,14.3808703500,15.5490643000,43634041
2020-07-07,001979,15.6296294000,16.1130200000,15.0334476600,15.1220692700,57667984
2020-07-08,001979,14.9689955800,15.1220692700,14.5903396100,14.9528825600,50034890
2020-07-09,001979,14.9448260500,16.0082853700,14.8239784000,15.4121036300,52049452
2020-07-10,001979,15.2268039000,16.1130200000,15.1462388000,15.9921723500,69024443
2020-07-13,001979,16.1049634900,16.4030543600,15.4121036300,15.9518898000,55565766
2020-07-14,001979,15.6860249700,15.8713247000,15.1704083300,15.2993124900,46540421
2020-07-15,001979,15.3879341000,15.5087817500,14.6225656500,14.6386786700,37249650
2020-07-16,001979,14.7514698100,15.0495606800,14.4775484700,14.5097745100,26693429
2020-07-17,001979,14.5258875300,14.8400914200,14.3405878000,14.7595263200,18935246
2020-07-20,001979,14.8723174600,15.2268039000,14.6628482000,15.1220692700,21226430
2020-07-21,001979,15.1301257800,15.1865213500,14.9045435000,15.0415041700,17923749
2020-07-22,001979,15.0495606800,15.2751429600,14.8562044400,15.2106908800,20015483
2020-07-23,001979,15.0086699500,15.0086699500,14.5288639000,14.6382933500,25831719
2020-07-24,001979,14.5625345000,14.7813934000,14.1921579000,14.3773462000,19365688
2020-07-27,001979,14.3857638500,14.5120286000,14.1079814000,14.1753226000,10685339
2020-07-28,001979,14.2594991000,14.4531050500,13.9901343000,14.3773462000,16505076
2020-07-29,001979,14.3941815000,14.5372815500,14.2679167500,14.4951933000,10643494
2020-07-30,001979,14.4951933000,14.4951933000,14.2763344000,14.3689285500,15275275
2020-07-31,001979,14.3689285500,14.5120286000,14.2258285000,14.3605109000,15728474
2020-08-03,001979,14.4110168000,14.7645581000,14.3689285500,14.7140522000,25533947
2020-08-04,001979,14.6551286500,14.9160758000,14.4867756500,14.7393051500,30829213
2020-08-05,001979,14.6467110000,14.6635463000,14.3689285500,14.4362697500,16760784
2020-08-06,001979,14.4783580000,14.5625345000,14.2931697000,14.4699403500,14769164
