日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,601398,3.87,3.92,3.98,3.86,2349494,1404442752.0,3.13,2.35,0.09,0.09
2020-01-03,601398,3.92,3.94,3.97,3.91,1522130,911951568.0,1.53,0.51,0.02,0.06
2020-01-06,601398,3.91,3.92,4.0,3.9,2265097,1359917424.0,2.54,-0.51,-0.02,0.08
2020-01-07,601398,3.93,3.96,3.99,3.93,1168044,701615824.0,1.53,1.02,0.04,0.04
2020-01-08,601398,3.91,3.86,3.92,3.85,1585591,940552720.0,1.77,-2.53,-0.1,0.06
2020-01-09,601398,3.9,3.86,3.91,3.83,1377134,813806688.0,2.07,0.0,0.0,0.05
2020-01-10,601398,3.86,3.86,3.88,3.81,978378,576580176.0,1.81,0.0,0.0,0.04
2020-01-13,601398,3.85,3.88,3.88,3.82,1089910,642791840.0,1.55,0.52,0.02,0.04
2020-01-14,601398,3.87,3.89,3.91,3.86,1367701,812389856.0,1.29,0.26,0.01,0.05
2020-01-15,601398,3.88,3.83,3.89,3.82,1288908,759512880.0,1.8,-1.54,-0.06,0.05
2020-01-16,601398,3.82,3.75,3.84,3.74,2690313,1572007904.0,2.61,-2.09,-0.08,0.1
2020-01-17,601398,3.76,3.77,3.79,3.75,1039490,605076656.0,1.07,0.53,0.02,0.04
2020-01-20,601398,3.76,3.79,3.81,3.75,1033400,602786608.0,1.59,0.53,0.02,0.04
2020-01-21,601398,3.77,3.72,3.78,3.71,1432237,828268480.0,1.85,-1.85,-0.07,0.05
2020-01-22,601398,3.71,3.74,3.74,3.66,1283708,738870048.0,2.15,0.54,0.02,0.05
2020-01-23,601398,3.71,3.67,3.73,3.65,2000377,1146238544.0,2.14,-1.87,-0.07,0.07
2020-02-03,601398,3.25,3.37,3.53,3.25,4680399,2524272176.0,7.63,-8.17,-0.3,0.17
2020-02-04,601398,3.34,3.45,3.48,3.31,4013853,2178867248.0,5.04,2.37,0.08,0.15
2020-02-05,601398,3.44,3.44,3.47,3.37,2508538,1374458720.0,2.9,-0.29,-0.01,0.09
2020-02-06,601398,3.45,3.45,3.48,3.39,2809954,1538957664.0,2.62,0.29,0.01,0.1
2020-02-07,601398,3.42,3.39,3.42,3.35,2373190,1288428160.0,2.03,-1.74,-0.06,0.09
2020-02-10,601398,3.36,3.37,3.38,3.33,1902386,1027646560.0,1.47,-0.59,-0.02,0.07
2020-02-11,601398,3.38,3.41,3.42,3.36,1984985,1081002720.0,1.78,1.19,0.04,0.07
2020-02-12,601398,3.41,3.41,3.42,3.37,2039144,1109148704.0,1.47,0.0,0.0,0.08
2020-02-13,601398,3.4,3.36,3.4,3.35,1995658,1082005696.0,1.47,-1.47,-0.05,0.07
2020-02-14,601398,3.35,3.38,3.39,3.34,1415764,767126656.0,1.49,0.6,0.02,0.05
2020-02-17,601398,3.37,3.44,3.44,3.36,2141949,1169117312.0,2.37,1.78,0.06,0.08
2020-02-18,601398,3.42,3.41,3.43,3.39,1845424,1007061200.0,1.16,-0.87,-0.03,0.07
2020-02-19,601398,3.4,3.43,3.45,3.4,2040524,1115986864.0,1.47,0.59,0.02,0.08
2020-02-20,601398,3.43,3.46,3.47,3.39,2836681,1552477584.0,2.33,0.87,0.03,0.11
2020-02-21,601398,3.44,3.44,3.47,3.42,2237103,1228187056.0,1.45,-0.58,-0.02,0.08
2020-02-24,601398,3.43,3.39,3.44,3.38,1933292,1053685888.0,1.74,-1.45,-0.05,0.07
2020-02-25,601398,3.35,3.36,3.37,3.34,2301333,1243466240.0,0.88,-0.88,-0.03,0.09
2020-02-26,601398,3.33,3.36,3.39,3.31,2579688,1393315552.0,2.38,0.0,0.0,0.1
2020-02-27,601398,3.35,3.35,3.37,3.34,2225556,1202215360.0,0.89,-0.3,-0.01,0.08
2020-02-28,601398,3.32,3.25,3.33,3.23,4229372,2256218768.0,2.99,-2.99,-0.1,0.16
2020-03-02,601398,3.25,3.31,3.31,3.24,2399023,1279829488.0,2.15,1.85,0.06,0.09
2020-03-03,601398,3.32,3.33,3.35,3.3,2554032,1374004544.0,1.51,0.6,0.02,0.09
2020-03-04,601398,3.32,3.34,3.34,3.31,1342816,721906816.0,0.9,0.3,0.01,0.05
2020-03-05,601398,3.35,3.41,3.41,3.33,3305398,1794965696.0,2.4,2.1,0.07,0.12
2020-03-06,601398,3.37,3.36,3.38,3.34,1959499,1059304464.0,1.17,-1.47,-0.05,0.07
2020-03-09,601398,3.29,3.26,3.3,3.25,2880620,1532677424.0,1.49,-2.98,-0.1,0.11
2020-03-10,601398,3.24,3.31,3.32,3.24,2508208,1336201312.0,2.45,1.53,0.05,0.09
2020-03-11,601398,3.3,3.27,3.32,3.27,1694070,904475648.0,1.51,-1.21,-0.04,0.06
2020-03-12,601398,3.25,3.24,3.27,3.22,2462965,1303003584.0,1.53,-0.92,-0.03,0.09
2020-03-13,601398,3.11,3.17,3.22,3.08,2997241,1553653696.0,4.32,-2.16,-0.07,0.11
2020-03-16,601398,3.17,3.12,3.24,3.09,3044663,1586443696.0,4.73,-1.58,-0.05,0.11
2020-03-17,601398,3.11,3.12,3.18,3.07,2577129,1329255600.0,3.53,0.0,0.0,0.1
2020-03-18,601398,3.13,3.06,3.15,3.06,2025068,1045181424.0,2.88,-1.92,-0.06,0.08
2020-03-19,601398,3.06,2.94,3.07,2.88,2898850,1452206736.0,6.21,-3.92,-0.12,0.11
2020-03-20,601398,2.97,3.03,3.06,2.95,2125136,1073508064.0,3.74,3.06,0.09,0.08
2020-03-23,601398,2.95,2.94,2.98,2.93,1399893,699169088.0,1.65,-2.97,-0.09,0.05
2020-03-24,601398,2.97,3.07,3.07,2.97,2303316,1166514208.0,3.4,4.42,0.13,0.09
2020-03-25,601398,3.12,3.13,3.13,3.05,2321786,1195478384.0,2.61,1.95,0.06,0.09
2020-03-26,601398,3.08,3.13,3.17,3.06,1556128,805142976.0,3.51,0.0,0.0,0.06
2020-03-27,601398,3.16,3.16,3.2,3.13,1727365,901046976.0,2.24,0.96,0.03,0.06
2020-03-30,601398,3.13,3.17,3.19,3.1,1953885,1016609264.0,2.85,0.32,0.01,0.07
2020-03-31,601398,3.17,3.1,3.19,3.07,1761032,912323376.0,3.79,-2.21,-0.07,0.07
2020-04-01,601398,3.1,3.11,3.14,3.08,1018584,525623744.0,1.94,0.32,0.01,0.04
2020-04-02,601398,3.09,3.14,3.14,3.06,1228856,632366528.0,2.57,0.96,0.03,0.05
2020-04-03,601398,3.11,3.09,3.13,3.07,1096046,564119680.0,1.91,-1.59,-0.05,0.04
2020-04-07,601398,3.13,3.11,3.14,3.08,1703016,878022928.0,1.94,0.65,0.02,0.06
2020-04-08,601398,3.09,3.09,3.1,3.07,1034743,531023696.0,0.96,-0.64,-0.02,0.04
2020-04-09,601398,3.09,3.08,3.1,3.07,735821,377790160.0,0.97,-0.32,-0.01,0.03
2020-04-10,601398,3.08,3.06,3.09,3.05,978069,500477712.0,1.3,-0.65,-0.02,0.04
2020-04-13,601398,3.05,3.05,3.08,3.04,855087,436405776.0,1.31,-0.33,-0.01,0.03
2020-04-14,601398,3.06,3.07,3.08,3.05,883218,451932576.0,0.98,0.66,0.02,0.03
2020-04-15,601398,3.06,3.08,3.08,3.05,946035,484407184.0,0.98,0.33,0.01,0.04
2020-04-16,601398,3.06,3.07,3.08,3.05,700632,358394224.0,0.97,-0.32,-0.01,0.03
2020-04-17,601398,3.08,3.1,3.12,3.06,1382449,710819552.0,1.95,0.98,0.03,0.05
2020-04-20,601398,3.09,3.07,3.1,3.07,1038087,532094032.0,0.97,-0.97,-0.03,0.04
2020-04-21,601398,3.06,3.03,3.07,3.02,1176049,598287920.0,1.63,-1.3,-0.04,0.04
2020-04-22,601398,3.02,3.04,3.05,3.0,876584,445105984.0,1.65,0.33,0.01,0.03
2020-04-23,601398,3.04,3.02,3.04,3.0,1033422,523778032.0,1.32,-0.66,-0.02,0.04
2020-04-24,601398,3.01,3.0,3.02,2.99,687952,347600176.0,0.99,-0.66,-0.02,0.03
2020-04-27,601398,3.0,3.04,3.06,3.0,1172997,596976656.0,2.0,1.33,0.04,0.04
2020-04-28,601398,3.04,3.06,3.07,2.99,1505136,766309872.0,2.63,0.66,0.02,0.06
2020-04-29,601398,3.05,3.1,3.1,3.03,1210796,621183008.0,2.29,1.31,0.04,0.04
2020-04-30,601398,3.1,3.12,3.13,3.09,1040639,537925248.0,1.29,0.65,0.02,0.04
2020-05-06,601398,3.07,3.06,3.07,3.03,1620612,826750784.0,1.28,-1.92,-0.06,0.06
2020-05-07,601398,3.05,3.05,3.06,3.04,788982,402339520.0,0.65,-0.33,-0.01,0.03
2020-05-08,601398,3.05,3.05,3.07,3.04,1148278,586300544.0,0.98,0.0,0.0,0.04
2020-05-11,601398,3.06,3.09,3.09,3.05,1130519,579421728.0,1.31,1.31,0.04,0.04
2020-05-12,601398,3.08,3.08,3.1,3.06,1016321,521289504.0,1.29,-0.32,-0.01,0.04
2020-05-13,601398,3.07,3.08,3.08,3.06,556280,284796160.0,0.65,0.0,0.0,0.02
2020-05-14,601398,3.07,3.05,3.08,3.04,811525,414442720.0,1.3,-0.97,-0.03,0.03
2020-05-15,601398,3.05,3.04,3.07,3.03,959061,488458000.0,1.31,-0.33,-0.01,0.04
2020-05-18,601398,3.04,3.05,3.05,3.02,936179,476194384.0,0.99,0.33,0.01,0.03
2020-05-19,601398,3.07,3.07,3.08,3.05,1361801,696256256.0,0.98,0.66,0.02,0.05
2020-05-20,601398,3.06,3.07,3.07,3.05,867649,443325184.0,0.65,0.0,0.0,0.03
2020-05-21,601398,3.07,3.05,3.08,3.05,810031,414491664.0,0.98,-0.65,-0.02,0.03
2020-05-22,601398,3.05,3.0,3.06,3.0,1433771,727859696.0,1.97,-1.64,-0.05,0.05
2020-05-25,601398,3.01,3.04,3.05,2.99,1055065,535413168.0,2.0,1.33,0.04,0.04
2020-05-26,601398,3.05,3.03,3.06,3.03,925221,471204944.0,0.99,-0.33,-0.01,0.03
2020-05-27,601398,3.03,3.07,3.08,3.03,1195940,611685984.0,1.65,1.32,0.04,0.04
2020-05-28,601398,3.07,3.12,3.13,3.07,1457287,751332000.0,1.95,1.63,0.05,0.05
2020-05-29,601398,3.09,3.07,3.1,3.05,1257614,644333216.0,1.6,-1.6,-0.05,0.05
2020-06-01,601398,3.08,3.11,3.11,3.07,1050079,540140880.0,1.3,1.3,0.04,0.04
2020-06-02,601398,3.1,3.14,3.14,3.08,1528292,788749040.0,1.93,0.96,0.03,0.06
2020-06-03,601398,3.15,3.14,3.19,3.13,1345468,700101344.0,1.91,0.0,0.0,0.05
2020-06-04,601398,3.15,3.13,3.16,3.12,763941,396059488.0,1.27,-0.32,-0.01,0.03
2020-06-05,601398,3.14,3.16,3.17,3.11,1098658,569906512.0,1.92,0.96,0.03,0.04
2020-06-08,601398,3.17,3.19,3.21,3.15,1709294,894672992.0,1.9,0.95,0.03,0.06
2020-06-09,601398,3.19,3.21,3.23,3.18,1186765,624176016.0,1.57,0.63,0.02,0.04
2020-06-10,601398,3.22,3.22,3.23,3.2,1301162,685774224.0,0.93,0.31,0.01,0.05
2020-06-11,601398,3.22,3.22,3.25,3.19,2019545,1065079808.0,1.86,0.0,0.0,0.07
2020-06-12,601398,3.18,3.17,3.27,3.15,3797260,2002673520.0,3.73,-1.55,-0.05,0.14
2020-06-15,601398,3.19,3.19,3.26,3.18,2160776,1137899840.0,2.52,0.63,0.02,0.08
2020-06-16,601398,3.22,3.25,3.26,3.21,1230380,650847984.0,1.57,1.88,0.06,0.05
2020-06-17,601398,3.23,3.21,3.25,3.2,879845,463475824.0,1.54,-1.23,-0.04,0.03
2020-06-18,601398,3.15,3.14,3.17,3.11,2109655,1095065088.0,1.87,-2.18,-0.07,0.08
2020-06-19,601398,3.13,3.15,3.16,3.1,1986051,1029454848.0,1.91,0.32,0.01,0.07
2020-06-22,601398,3.15,3.11,3.17,3.11,1569840,814365104.0,1.9,-1.27,-0.04,0.06
2020-06-23,601398,3.11,3.09,3.11,3.07,1798935,924358320.0,1.29,-0.64,-0.02,0.07
2020-06-24,601398,3.1,3.17,3.19,3.09,1941728,1008333088.0,3.24,2.59,0.08,0.07
2020-06-29,601398,3.23,3.2,3.26,3.15,3000963,1574885424.0,3.47,0.95,0.03,0.11
2020-06-30,601398,3.21,3.19,3.24,3.17,2135599,1064429280.0,2.19,-0.31,-0.01,0.08
2020-07-01,601398,3.19,3.2,3.2,3.13,1953424,968080288.0,2.19,0.31,0.01,0.07
2020-07-02,601398,3.19,3.27,3.28,3.17,3336395,1672846064.0,3.44,2.19,0.07,0.12
2020-07-03,601398,3.27,3.37,3.39,3.27,3494608,1791281776.0,3.67,3.06,0.1,0.13
2020-07-06,601398,3.41,3.81,3.82,3.4,7463596,4044172400.0,12.46,13.06,0.44,0.28
2020-07-07,601398,3.88,3.77,4.06,3.77,6224565,3518396224.0,7.61,-1.05,-0.04,0.23
2020-07-08,601398,3.73,3.68,3.8,3.59,6130511,3357353296.0,5.57,-2.39,-0.09,0.23
2020-07-09,601398,3.64,3.59,3.66,3.56,5693420,3064469072.0,2.72,-2.45,-0.09,0.21
2020-07-10,601398,3.57,3.43,3.58,3.41,6260793,3302585360.0,4.74,-4.46,-0.16,0.23
2020-07-13,601398,3.41,3.42,3.46,3.37,6089284,3167529376.0,2.62,-0.29,-0.01,0.23
2020-07-14,601398,3.4,3.35,3.41,3.34,4639220,2397441232.0,2.05,-2.05,-0.07,0.17
2020-07-15,601398,3.37,3.29,3.39,3.28,4611494,2355023792.0,3.28,-1.79,-0.06,0.17
2020-07-16,601398,3.29,3.27,3.34,3.26,4922858,2505984416.0,2.43,-0.61,-0.02,0.18
2020-07-17,601398,3.27,3.27,3.29,3.24,2975298,1504161296.0,1.53,0.0,0.0,0.11
2020-07-20,601398,3.28,3.34,3.35,3.26,3865924,1974500416.0,2.75,2.14,0.07,0.14
2020-07-21,601398,3.34,3.31,3.35,3.3,2262538,1154453552.0,1.5,-0.9,-0.03,0.08
2020-07-22,601398,3.31,3.3,3.35,3.28,2926611,1493366736.0,2.11,-0.3,-0.01,0.11
2020-07-23,601398,3.28,3.24,3.29,3.23,3751366,1890158448.0,1.82,-1.82,-0.06,0.14
